200 250 0 0 0 0 0 0 0 0 0 0 0 0
200 300 0 0 2 0 1 0 0 1 0 0 0 0
200 350 0 0 2 0 1 0 0 1 1 0 0 0
200 400 0 0 0 0 1 0 0 1 1 0 0 0
200 450 1 0 3 2 5 0 1 2 3 0 0 0
200 500 4 0 8 4 2 0 0 3 1 1 0 0
200 550 8 5 27 5 12 3 2 4 10 1 0 0
200 600 22 13 35 15 15 0 2 2 10 0 0 0
200 650 7 14 52 11 21 3 3 8 7 2 0 0
200 700 12 13 61 11 17 3 3 10 5 0 0 0
200 750 14 14 56 11 22 2 4 17 13 4 0 0
200 800 25 26 95 21 33 4 10 18 8 3 0 0
200 850 13 29 119 16 35 5 3 13 7 0 0 0
200 900 29 47 144 17 53 4 8 21 4 3 0 0
200 950 1 11 48 0 16 0 5 13 6 1 0 0
200 1000 6 19 57 4 25 1 5 21 2 0 0 0
400 250 0 0 2 0 0 0 0 0 0 0 0 0
400 300 2 0 1 1 1 0 0 0 0 1 0 0
400 350 2 1 3 2 3 1 2 2 0 2 0 0
400 400 1 1 2 1 2 0 0 0 0 1 0 0
400 450 0 0 4 0 1 0 0 2 3 1 0 0
400 500 1 4 8 1 5 0 2 3 2 0 0 0
400 550 1 2 9 1 4 1 0 2 0 0 0 0
400 600 4 4 9 5 12 4 4 4 3 0 1 0
400 650 3 3 9 2 4 1 0 4 4 2 0 0
400 700 0 2 12 3 6 1 1 5 4 4 0 0
400 750 4 7 28 1 11 0 4 7 1 2 0 0
400 800 11 6 27 6 16 2 6 15 2 1 0 0
400 850 4 13 58 1 22 0 5 17 5 2 0 0
400 900 15 50 157 13 81 3 9 21 11 5 0 0
400 950 35 113 263 25 117 3 23 31 11 1 0 0
400 1000 36 138 302 30 104 6 20 29 8 0 0 0
600 250 0 1 1 0 3 0 1 1 0 0 0 0
600 300 0 1 4 0 2 0 1 7 2 2 0 0
600 350 0 1 6 1 2 0 0 2 1 1 0 0
600 400 1 1 5 0 5 0 2 3 4 2 0 0
